### Raw data #######################################
#   nrec = 10001                                   #
#   delta_t = 0.1000000                            #
####################################################
#       [1]t              [2]Re[u]         [3]Im[u]     [4]Re[du/dt]     [5]Im[du/dt]         [6]Re[f]         [7]Im[f]
    5.500000        0.1855707E-002  -0.2567233E-002   0.2238047E-005  -0.3903743E-004  -0.2065916E-005  -0.1895139E-004
    5.600000        0.1855927E-002  -0.2571159E-002   0.2169703E-005  -0.3949335E-004  -0.2128969E-005  -0.1931547E-004
    5.700000        0.1856141E-002  -0.2575132E-002   0.2099349E-005  -0.3995798E-004  -0.2193973E-005  -0.1968743E-004
    5.800000        0.1856347E-002  -0.2579151E-002   0.2026921E-005  -0.4043154E-004  -0.2260993E-005  -0.2006749E-004
    5.900000        0.1856546E-002  -0.2583218E-002   0.1952354E-005  -0.4091426E-004  -0.2330093E-005  -0.2045588E-004
    6.000000        0.1856738E-002  -0.2587334E-002   0.1875578E-005  -0.4140638E-004  -0.2401343E-005  -0.2085285E-004
    6.100000        0.1856921E-002  -0.2591500E-002   0.1796523E-005  -0.4190816E-004  -0.2474815E-005  -0.2125862E-004
    6.200000        0.1857097E-002  -0.2595716E-002   0.1715116E-005  -0.4241984E-004  -0.2550581E-005  -0.2167347E-004
    6.300000        0.1857264E-002  -0.2599984E-002   0.1631282E-005  -0.4294171E-004  -0.2628719E-005  -0.2209765E-004
    6.400000        0.1857423E-002  -0.2604305E-002   0.1544940E-005  -0.4347404E-004  -0.2709307E-005  -0.2253144E-004
    6.500000        0.1857573E-002  -0.2608679E-002   0.1456009E-005  -0.4401712E-004  -0.2792429E-005  -0.2297513E-004
    6.600000        0.1857714E-002  -0.2613109E-002   0.1364405E-005  -0.4457126E-004  -0.2878169E-005  -0.2342902E-004
    6.700000        0.1857846E-002  -0.2617594E-002   0.1270040E-005  -0.4513677E-004  -0.2966616E-005  -0.2389341E-004
    6.800000        0.1857968E-002  -0.2622136E-002   0.1172822E-005  -0.4571397E-004  -0.3057862E-005  -0.2436864E-004
    6.900000        0.1858080E-002  -0.2626737E-002   0.1072657E-005  -0.4630320E-004  -0.3152003E-005  -0.2485503E-004
    7.000000        0.1858182E-002  -0.2631397E-002   0.9694475E-006  -0.4690482E-004  -0.3249137E-005  -0.2535294E-004
    7.100000        0.1858274E-002  -0.2636118E-002   0.8630906E-006  -0.4751919E-004  -0.3349367E-005  -0.2586273E-004
    7.200000        0.1858355E-002  -0.2640902E-002   0.7534810E-006  -0.4814669E-004  -0.3452801E-005  -0.2638479E-004
    7.300000        0.1858425E-002  -0.2645748E-002   0.6405089E-006  -0.4878773E-004  -0.3559549E-005  -0.2691950E-004
    7.400000        0.1858483E-002  -0.2650660E-002   0.5240603E-006  -0.4944271E-004  -0.3669727E-005  -0.2746729E-004
    7.500000        0.1858529E-002  -0.2655637E-002   0.4040168E-006  -0.5011207E-004  -0.3783454E-005  -0.2802858E-004
